instance,text,category
85,Aan de receptie medewerker duidelijk maken dat de arts hem toch echt na 2 weken wil zien.,passive
86,Toch doorvragen naar een eerder tijdstip,proactive
87,1) Aangeven dat de arts zei om hem over 2 weken terug te zien en dat de arts dan ook wel zou moeten weten dat hij pas na een maand tijd had.   2) Teruggaan naar de arts en melden dat er pas na een maand een afspraak gemaakt kan worden.   3) Vragen om een plaatsvervangende arts.  4) Naar een andere arts/ziekenhuis gaan.,proactive
88,Zorgen dat de afspraak toch eerder kan plaatsvinden zoals het advies van de dokter luidt. Niet te snel genoegen nemen wat wordt aangedragen.,proactive
89,"Afhankelijk van de ernstigheid van de conditie, kijken of er iets mogelijk is met schuiven van afspraken / buiten standaardtijd om (afhankelijk van de duur van een afspraak). Beetje weinig informatie over de situatie.",somewhat
90,"In `n maatschap `n andere arts raadplegen, anders(afhankelijk van de ernst van de situatie wachten of.) er op staan om toch `n afspraak te krijgen",destructive
91,zorgen dat de afspraak voor over 2 weken gemaakt kan worden. er word niet voor niks gezegd dat hij over 2 weken terug moet komen.,proactive
92,"levensbedreigend=aangeven evt.andere arts benaderen. In andere geval zelf bekijken of haast nodig is,zonodig accepteren,en andere afspraak vragen.",passive
93,Nogmaals melden dat de arts hem over 2 weken wil zien en niet over 4. Dubbele tijd is niet goed. Er is vast wel een gaatje in de agenda voor deze gevallen,proactive
94,benadrukken dat hij over twee weken  terug moet komen.,passive
95,Jan zou moeten aangeven wat de arts van hem verwacht,passive
96,aangeven dat met de arts afgesproken is om over twee weken terug te komen. indien het niet lukt de arts direct te spreken vragen.,proactive
97,Dokter opbellen en ernaar vragen,somewhat
98,"aangeven dat de arts hem over 2 weken terug wil zien. Als de afspraak echt niet kan, een overleg telefonisch afspreken.",somewhat
99,Er op wijzen dat er al een afspraak was met de arts !,passive
100,Duidelijk zeggen dat de arts hem over 2 weken terug verwacht. Dus er staan dat de afsraak zo dicht mogelijk bij die 2 weken ligt.,proactive
101,Uitdrukkelijk vermelden dat hij binnen 2 weken een afspraak had,passive
102,niet mee acoord gaan en er op staan dat hij over twee weken kon komen,proactive
103,Duidelijk maken dat de arts van Jan had gezegd dat hij over twee weken terug moest komen en niet over een maand.,passive
104,aan de assistent vragen of ze contact met de dokter opneemt of een maand later verantwoord is.,proactive
105,"Terugkoppelen naar arts, die moet zorgen dat hij binnen 2 weken terug kan komen",proactive
106,"Ik zou hem adviseren door de vragen over de reden van dit uitstel en vervolgens met de receptie onderzoeken of er een alternatief op kortere termijn mogelijk is, desnoods met een andere arts.   Gezien de duidelijke termijn van 2 weken die de arts zelf blijkbaar belangrijk vond, lijkt mij dit heel legitiem",proactive
107,"hij moet er op staan dat de afspraak toch over 14 dagen moet, anders overleggen met de arts.",proactive
108,Onder verwijzing naar de afspraak met de arts de receptie medewerker de arrts te raadplegen,proactive
109,aangeven dat de arts hem graag over twee weken wil zien.,passive
110,aangeven dat mede op advies arts hij over ongeveer 14dagen ter controle moet komen.En hierin volharden,proactive
111,Jan moet zeggen dat de arts niet voor niets zegt over 2 weken terug te komen!!,passive
112,"de receptie zeggen, dat de dokter wil, dat hij over 14 dagen terugkomt.",passive
113,de afspraak is over 2 weken en niet langer.,proactive
114,Aangeven dat hij binnen twee weken terug moet komen,passive
115,Zijn ongenoegen hierover uiten en duidelijk aangeven dat hij hiervan niet gediend is,proactive
117,de receptie contact laten opnemen met arts,proactive
118,Er op staan dat ie binnen 2 weken een afspraak moet hebben omdat de arts dat vraagt en die toch deskundig is.,proactive
119,vragen of het eerder kan,passive
120,hij gaat de aarst bellen en zeggen dat over maand plaats is .volgens zou de verder regelen,somewhat
121,De arts zelf te spreken krijgen.,proactive
122,Vragen of het niet eerder kan.,passive
123,bij de receptie uitleggen dat de arts hem over 2 weken wil zien en dus graag een afspraak voor over 2 weken wil maken.,proactive
124,doorgeven dat hij niet zo lang kan wachten,proactive
125,De arts zegt over 2 wk dus 3 lijkt me redelijk.,passive
126,"Echt een situatie van de tegenwoordige tijd, waarin secretaresses vaak een onneembare barriere zijn. Jan moet eerst de situatie nog eens duidelijk uitleggen; in ieder geval de eerstvolgende mogelijkheid vastleggen, maar wel een klacht indienen.",proactive
127,"Zo spoedig mogelijk een afspraak maken, ook al is dit pas na een maand.(voor een conditietest is de prio laag!).",passive
128,Zeggen dat de dokter heeft gezegd dat hij na twee weken moest terugkomen dus dat een maand misschien een beetje lang is. Op die manier proberen om eerder te kunnen,proactive
129,Jan moet er op wijzen dat de dokter hem met twee weken weer wilde zien.,passive
130,melden dat de dokter heeft gezegd dat jan over 2 weken moet terug komen,passive
131,over een maand een afspraak maken,passive
132,Ik adviseer Jan om niet op te geven en de receptionis duidelijk uit te leggen hoe belangrijk de afspraak is. Een maand is niet hetzelfde als 2 weken.,proactive
133,niks gewoon accepteren,passive
134,Aangeven dat het van de arts toch echt over twee weken moet.,passive
135,"Refereren aan de mondelinge toezegging en erop staan dat de receptionist zich voegt naar de afspraak met de arts en zonodig hierover contact met hem of haar opneemt. Ik ben zelf arts en heb voor dit soort voorkomende situaties mijn assistenten ge‹nformeerd. Zo spoedig artsen hun vertrouwen verliezen, ook in dit geval, is dat funest voor de arts-pati‰nt relatie.",proactive
136,Bij de receptie zeggen dat hij van de arts een afspraak moest maken over twee weken. Desnoods even teruglopen naar de arts (als hij niet bezet is).,proactive
137,aandringen om toch een afspraak over 2 weken te krijgen,proactive
138,proberen eerder een afspraak te maken,passive
139,als hij over 2 weken terug moet komen dan maakt 2 weken later niet veel uit dus adviseer ik hem om over een maand terug te komen Tenzij hij iets heeft wat acuut niet kan wachten en dan moet hij gewoon naar de polie kliniek gaan,passive
140,Aangeven dat de dokter dit verzocht heeft,passive
141,"Tegen de receptie vertellen dat de arts een afspraak wilde over 2 weken en de secretaresse nogmaals laten controleren. Als het niet anders kan, die afspraak over een maand maken.",passive
142,zich houden aan de afspraak met de arts,proactive
143,Aangeven dat de arts heeft gezegd dat hij over 2 weken terug moet komen en dat hij over 2 weken een afspraak wil.,proactive
144,"Gewoon aan zijn conditie werken en dit zelf bijhouden, je kunt zelf wel inschatten of je conditie verbetert, is het medisch noodzakelijk dat zou jan er op moeten aandringen een eerdere afspraak te kunnen maken. of minimaal bij afzeggen van een andere klant heem die plek te geven",passive
145,"de persoon er op wijze dat de arts verwacht dat ik na twee weken terug zou komen , en dan het advies van de persoon opvolgen",passive
146,Afspraak maken voor wanneer mogelijk en daarna telefonisch contact zoeken om te overleggen.,somewhat
147,aandringen op afspraak en anders andere arts consulteren.,proactive
148,"als het niet al te dringend was, wachten.",passive
149,Aangeven dat de arts twee weken heeft aangegeven. Vragen of zij wil overleggen of de arts vier weken goed vindt.,proactive
150,trachten op een openvallend uur alsnog geboekt te worden,somewhat
151,Jan zou nadrukkelijk moeten zeggen dat de arts hem gevraagd heeft binnen twee weken terug te komen. En dat een periode van meer dan een maand wachten te lang is en risico's met zich mee kan brengen voor Jan zijn gezondheid. En vervolgens vragen of er echt geen mogelijkheid is dat hij eerder kan worden geholpen.,proactive
152,Erop staan dat hij een eerdere datum voor een afspraak kriijgt.,proactive
153,Terug moeten gaan naar de de desbetreffende arts en zoeken naar een oplossing.,proactive
154,de receptie wyzen op de mening van de arts en daar aan vasthouden,proactive
155,Er op aandringen de afspraak toch doorgaat en het advies van de arts duidelijk in betrekken.,proactive
156,duidelijk maken weerom hij terug moet komen en rechtstreeks met de arts overleggen,proactive
157,Duidelijk aangeven dat de arts heeft verzocht om met 2 weken terug te komen en aangeven dat je hier toch wel prijs op stelt.,proactive
158,Ervoor zorgen dat hij toch een afspraak heeft binnen twee weken.,proactive
159,"De receptie eraan herinneren dat de arts een termijn van maximaal twee weken heeft afgesproken. Indien dat niet gaat dan kan de receptie in overleg met de arts, een afspraak maken over een maand.",proactive
160,"er op staan dat de afspraak eerder gepland moet worden i.v.m. gezondheid, dit gaat ten aller tijden voor",proactive
161,"Aan de receptie laten weten wat de arts zojuist heeft gezegd. Als hij/zij er dan niets mee kan doen, terug gaan naar de arts en de situatie uitleggen. Ik denk dat er dan wel stappen worden ondernomen door de arts zelf om de zorg zo goed mogelijk te kunnen geven.",proactive
162,"Terug naar de dokter, zodat deze regelt dat er wel een afspraak gemaakt kan worden na 2 weken.",proactive
163,wijzen op het feit dat de arts hem erop gewezen had,passive
164,Gelijk terug gaan naar de arts,proactive
165,Zeggen dat zijn arts zei dat hij over 2 weken moest terug komen en niet over een maand een afspraak wilt maken.,passive
166,Receptie laten overleggen met de arts.,proactive
167,uitdrukkelijk aangeven dat de arts heeft verzocht over 2 weken terug te komen,passive
168,nou dan wacht hij af als hij zich goed voelt komt hij wellater anders belt hij wel,passive
169,Niet akkoord gaan met de mogelijkheid. Hij miet gewoon aangeven hoe belangrijk de afspraak voor zijn gezondheid is.,passive
170,"Uitleggen dat hij van de arts over twee weken terug moest komen en erop staan dat de receptioniste in ieder geval gaat overleggen met de arts hoe dit op te lossen (bijv. afspraak bij collega, telefonisch consult of dat hij toch aan het einde van een dag nog een afspraak kan krijgen).",proactive
171,zeggen dat ze even aan de arts moeten vragen of dat niet te laat word,proactive
172,"terug gaan naar de arts en vragen of dat ook zou kunnen over een maand , zo niet dan moet er iets anders worden bedacht ",proactive
173,niet accepteren,proactive
174,Een nafspraak maken met een andere arts.,destructive
175,"Ik zou Jan aanraden om aan te dringen bij de receptionist(e) voor een afspraak over 2 weken, er zou toch ergens een gaatje moeten zijn. Als dit niet kan zou ik alsnog de afspraak over een maand maken, maar mocht zijn conditie erg verslechteren in 2 weken zou ik er een spoedgeval van maken en bijv. naar de dokterswacht o.i.d.",passive
176,"Op gepaste wijze zijn weerstand laten weten, en niet zomaar akkoord gaan.",proactive
177,"ligt aan de ernst van zijn conditie. Komt het er niet zo op aan, dan laten zo en anders kijken of hij bij een andere arts eerder terecht kan",passive
179,de afspraak maken voor over een maand en in de tussentijd de vorderingen in zijn conditie noteren,passive
180,Eerst zijn ongenoegen uiten. Als dat niet helpt de zorgverzekeraar bellen en eventueel een andere arts raadplegen.,proactive
181,zeggen dat hij van de arts over 2 weken terug moet komen en niet pas over 4 weken,passive
182,Jan zou met de receptie in overleg moeten gaan en de situatie uitleggen. Wellicht dat Jan toch over 2 weken langs kan komen (doordat een andere pati‰nt afzegt),somewhat
183,Nog eens duidelijk maken dat hij VAN de dokter over twee weken terug moest komen.  Werkt dat niet dan eisen dat de dokter zelf een nieuwe afspraak gaat maken voor over twee weken.,proactive
184,"Aangeven wat de arts had geadviseerd. Mocht toch blijken dat het Šcht pas over 1 maand kan, dan maar die datum prikken.",passive
185,Jan moet het advies van de arts serieus nemen het gaat om zijn gezonheid en daar moet hij de receptie van overtuigen en binnen 14 dagen een afspraak eisen,proactive
186,De receptie contact laten opnemen met de arts,proactive
187,Vragen of er geen vervangde arts beschikbaar is over twee weken.,proactive
188,"Ik denk dat Jan wel heel duidelijk moet aangeven dat hij dit heel erg vindt, op een rustige manier, aangezien de dame of  heer van de receptie er ook niets aan kan doen. Dan moet hij naar huis gaan en kijken of hij bij een ander ziekenhuis of andere arts eerder terecht kan",destructive
189,er op wijzen dat hij over twee weken terug moet komen,passive
190,zegge dat hij binnen 2 weken terug moest komen. of dat hij dan een telefonische afspraak wil.,somewhat
191,naar een andere arts gaan,destructive
192,"Als hij zich verder goed voelt en denkt dat conditie verbeterd, wachten op afspraak. Anders nogmaals proberen afspraak te vervroegen en noodzaak uitleggen. Als het fout lijkt te gaan, een keer de huisartsenpost bellen buiten tijden voor afspraak om.",passive
193,"De arts aanspreken hierover. De arts wil hem over 2 weken zien, dus dan moet de arts dat regelen met de receptie en zijn planning.",proactive
194,receptie moet contact met arts opnemen om te vragen of dit goed is.,proactive
195,volgens mij zou Jan zich niet moeten laten afschepen door de assistente. Hij moet tegen haar zeggen dat hij van de arts het advies heeft gekregen echt over 2 weken terug te komen en dus een afspraak moet maken over 2 weken.,proactive
196,Duidelijk maken dat de arts hem aangegeven heeft om 2 weken later terug te komen,passive
197,zeggen dat je arts hem over twee weken wilt zien. niet af laten schepen.,proactive
198,Vragen of hij niet ergens achteraan gepland kan worden. Een maand wachten is echt te lang.,somewhat
199,Uitleggen dat de arts hem over 2 weken terug wilde zien. Dus dat de receptie dat met de arts gaat overleggen.,proactive
200,erop wijzen dat de arts gezegd heeft dat het vervolg over 2 weken moest zijn,passive
201,Duidelijk aangeven dat de arts twee weken heeft gezegd,passive
202,de receptioniste moet ruggespraak houden met de arts,proactive
203,"Aangeven dat de arts hem over 14 dagen terug wilde zien, en niet over 1 maand ",passive
204,Zeggen dat de arts hem heeft gezegd over twee weken terug te komen. Als de receptie dat niet honoreert raad ik hem aan er op te staan contact met de arts op te nemen.,proactive
205,Een nieuwe huisarts zoeken.,destructive
206,Indien hij de mogelijkheid heeft zou ik hem adviseren naar het buitenland te gaan. Ik woon in de grensstreek en kan heel snel een afspraak in Belgi‰ krijgen.,destructive
207,Jan moet degene aan de receptie vragen dat de afspraak de wens van de dokter is,passive
208,Ik zou Jan als advies geven om de situatie waar die inverkeerd uit te leggen. Hij zou ook kunnen uitleggen dat het een verzoek van de arts was om de afspraak op dat moment in te plennen. Ook kan hij mededelen dat hij/zij zelf nog met de arts zou kunnen overleggen voor een betere tijd stip als het nodig is.,proactive
209,dokter zei;2 weken,passive
210,"Hij moet vragen of het echt niet iets eerder kan. Er moet toch wel iets eerder een afspraak te maken zijn. Zo worden er altijd wel afspraken geannuleerd, en dan zou hij in diens plaats kunnen komen.",somewhat
211,Protesteren.,passive
213,Doorvragen en zeggen dat de dokter hem binnen 2 weken moest terug zien Gewoon volhouden,proactive
214,de arts heeft gezegd dat hij over twee weken terug moet komen. En niet over 4 weken.,passive
215,Hier geen genoegen mee nemen en met klem verzoeken om een afspraak. Tevens aangeven dat de arts hier zelf om verzocht heeft.,proactive
216,terug naar de arts .en vragen of hij de met u gemaakte afspraak van twee weken ook kan omzetten naar vier weken,proactive
217,zeggen dat de arts hem over twee weken terug wil zien,passive
218,"De afspraak inplannen (over 1 maand). Goed naar eigen lichaam te luisteren. Als zijn conditie niet Ok voelt, de arts bellen en toch op kortere termijn proberen langs de arts te gaan.",passive
219,Ik denk dat Jan het beste kan zeggen dat hij echt over twee weken terug moet komen. Indien dit niet mogelijk is de arts hierop aanspreken. Hoogstwaarschijnlijk krijgt Jan dan een afspraak over ongeveer 2 weken.,proactive
220,Uitleggen wat de arts van hem gevraagd had en erop aandringen de afspraak over 2 weken te noteren.,proactive
221,ja met de arts bespreken misschien telefonisch consult,somewhat
222,De arts zo snel mogelijk persoonlijk om uitleg vragen bv per telefoon of e-mail.,proactive
223,Terug gaan naar de arts en dit probleem bespreken om tot een oplossing te komen.,proactive
224,Hij moet aan de receptionist uitleggen dat de dokter expliciet gevraagd heeft om over 2 weken terug te komen.,passive
225,er op staan dat er met de dokter wordt overlegd voor een afspraak over 14 dagen.,proactive
226,Zeggen dat de arts zelf heeft gezegd om over 2 weken terug te komen en niet over een maand!,passive
227,Zeggen dat de arts hem over twee weken wil zien en dat er dus een afspraak over 2 weken moet komen. Haal de arts er maar bij!!,proactive
228,Vragen of het niet eerder kan.,passive
229,Afspraak over meer dan een maand maken.,passive
230,Moeten vertellen aan de receptioniste dat hij over 2 weken moest terug komen op advies van de dokter en dat dit dan ook moet gebeuren. Afspraak toch maken voor over 2 weken,proactive
231,"Laat je niet afschepen. Sta op je strepen.  Volgens arts is het de bedoeling na twee weken terug te keren, dus de afspraak moet binnen twee weken ok plaatsvinden en eventueel de planning bij de receptie wijzigen.",proactive
232,"Via assistente van de arts vragen aan de behandelaar, wat hij hier aan kan doen.",proactive
233,"Eerst de receptionist vertellen wat de dokter zojuist heeft verteld. Als dat niet helpt meteen naar de dokter teruggaan om te vertellen dat de afspraak niet gemaakt kan worden en vragen of het ook goed is om over een maand terug te komen. Als de dokter al bezig is met een patient en je niet mag storen, kan hij altijd nog een mailtje sturen of bellen als hij thuis is.",proactive
234,Hier geen genoegen mee moeten nemen omdat de arts hem had gevraagd over twee weken terug te komen.,proactive
235,"zeggen dat hij over twee weken bij de arts terug moet komen,dat ze hem maar tussenin moeten zetten.voet bij stuk houden.",proactive
236,"Dan moet Jan zeggen dat hij van de dokter over 2 weken terug moet komen en als de assistente dit niet gelooft zij het aan de dokter moet vragen en anders hij terug moet lopen naar de dokter en het vertellen, hij moet het in ieder geval niet pikken.",proactive
237,zeggen dat de arts over 2 weken zei en hier aan vasthouden er is vast nog ergens een plekje vrij,proactive
238,bij de receptie vertellen dat de arts heeft gezegd 2 week en anders verhaal halen bij de arts heeft de arts zich vergist dan accepteren,proactive
239,"zeggen tegen de receptionist dat de dokter heeft gezegd dat het over twee weken al kon, dus dat ze maar ruimte moeten gaan maken. het is jan zijn probleem niet!",proactive
240,Dat de afspraak eerder moet plaatsvinden op verzoek van de arts.,proactive
241,Aangeven dat de arts hem over 2 weken wil zien en niet over 1 maand.,passive
242,Goed aangeven dat de arts 2 weken heeft gezengd en dat ze dan maar een plaatsje moeten vrij maken,proactive
243,Jan zou de arts moeten aanspreken op het feit dat het onmogelijk is om de door hem genoemde termijn van twee weken op te volgen en vervolgens aan hem vragen wat de oplossing zou kunnen zijn.,proactive
244,afvragen of het noodzakelijk is dat de afspraak 2 weken is  zo ja;bij de receptie aangeven dat de afspraak twee weken dient te zijn.        nul op rekest terug naar arts.  zo nee;afspraak laten,proactive
245,De receptioniste contact op te laten nemen met de desbetreffende arts zodat deze kan bevestigen dat het echt over 2 weken moet.,proactive
246,De docter er bij halen want die hefft het tegen hem gezecht dat hij over 2 weken een afspraak heeft dus dan moet die dit dan maar regelen,proactive
247,Afhankelijk van de ernst van de klachten. Of wachten of aandringen op een consult. Indien ernst hoog ergens anders een afspraak maken als de eigen arts niet kan,passive
248,Melden dat de arts heeft beslist over twee weken terug te komen en contact zoeken met de arts.,proactive
249,"Maak een afspraak over een maand, het kan niet anders, toch.",passive
250,uitleggen wat de dokter gezegd had en eerder een afspraak eisen,proactive
251,vragen aan de receptie of ze toch nog ruimte heeft voor een afspraak over twee weken,passive
252,Meteen terug naar de arts,proactive
253,Toch afspraak maken!!,proactive
254,Gewoon de afspraak maken ook al is het pas een maand later. Het komt toch niet op een paar weken na.,passive
255,"dat hangt af van de ernst van de situatie, als jan niet wenst te wachten, een andere arts bezoeken anders 2 weken langer wachten",destructive
256,DIE AFSPRAAK NEMEN EN ALS JE ERG VEEL LAST VAN HEBBEN BELLEN VOOR EEN SPOEDTJE,passive
257,Verwijzen naar zijn afspraak met de arts en melden dat hij/zij aan heeft gegeven dat hij na twee weken terug moest komen. Een afspraak over meer dan een maand is daarom geen optie.,proactive
258,twee weken extra tijd om aan zijn conditie te werken is een voordeel,passive
259,er toch op staan twee weken zo niet de arts verwittegen van de afspraak,proactive
260,Jan zou aan moeten geven dat de arts hem heeft gevraagd over twee weken terug te komen en moeten vragen of hij er tussen kan worden gezet.,somewhat
261,Er op staan om toch  de afspraak  op de dag die de arts aangeeft te maken.,proactive
